ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"202.165.46.14","elite","AS17538","ID","Circlecom","194","N/A","5678","socks4","5094","1","2023-07-12T06:22:35.148Z","99","2824","2840"
"204.57.112.5","elite","AS22403","US","Trinicom Communications","106","Level 3","80","socks5","4992","1","2023-07-12T06:22:35.233Z","100","2804","2804"
"131.108.118.27","elite","AS264353","BR","Catalão Bandnet Serviços Multimídia LTDA - ME","213","Catalão Bandnet Serviços Multimídia LTDA - ME","2022","socks4","5201","1","2023-07-12T06:22:35.235Z","99","2763","2780"
"43.153.29.34","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","186","Tencent Cloud Computing","443","socks5","4196","1","2023-07-12T06:22:30.041Z","64","1807","2821"
"190.113.12.75","elite","AS22860","CL","Servicios Internet Ltda","199","TECNOERA-WEBHOSTING","3389","socks5","4501","1","2023-07-12T06:22:30.040Z","100","2794","2800"
"102.64.116.100","elite","AS328500","CG","A.M.C Telecom","191","A.M.C Telecom","4145","socks4","4895","1","2023-07-12T06:22:24.536Z","98","2802","2850"
"103.213.245.105","elite","AS18254","HK","Klayer LLC","195","N/A","4003","socks5","4591","1","2023-07-12T06:22:24.736Z","89","2484","2789"
"45.8.107.115","elite","AS209242","DE","Cloudflare London","18","Araxio Development N.V","80","socks5","4900","79","2023-07-12T06:22:24.540Z","100","2765","2765"
"49.70.225.42","elite","AS4134","CN","Chinanet","228","Chinanet JS","44844","socks5","5096","2","2023-07-12T06:22:24.543Z","53","1494","2801"
"167.172.23.19","elite","AS14061","US","DigitalOcean, LLC","79","DigitalOcean, LLC","64065","socks5","2190","1","2023-07-12T06:22:24.737Z","99","2841","2857"
"84.51.0.198","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","83","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","4702","1","2023-07-12T06:22:24.738Z","100","2792","2797"
"188.165.231.180","elite","AS16276","FR","OVH SAS","5","OVH ISP","55654","socks4","5002","82","2023-07-12T06:22:24.734Z","100","2853","2853"
"185.105.237.157","elite","AS212248","IR","Abolfazl-Shirdel","88","Amnpardaz Soft Corporation","808","socks4","5005","1","2023-07-12T06:22:19.037Z","100","2728","2739"
"27.72.29.7","elite","AS7552","VN","Viettel Group","296","VIETTEL","5678","socks4","4995","1","2023-07-12T06:22:19.039Z","100","2753","2763"
"139.60.183.10","elite","AS14979","PR","Aeronet Wireless","122","Aeronet Wireless","4153","socks4","4991","1","2023-07-12T06:22:19.139Z","96","2731","2835"
"124.109.22.174","elite","AS38527","ID","PT. JAWA POS NATIONAL NETWORK MEDIALINK","196","N/A","5678","socks4","3500","2","2023-07-12T06:22:19.136Z","92","2627","2862"
"45.7.177.243","elite","AS266626","BR","Litoral Telecom","295","Litoral Telecom","39867","socks4","3498","3","2023-07-12T06:22:19.033Z","99","2774","2813"
"75.119.202.21","elite","AS26347","US","New Dream Network, LLC","196","New Dream Network, LLC","15745","socks5","4707","2","2023-07-12T06:22:18.937Z","100","2847","2848"
"45.70.237.145","elite","AS264668","EC","Nedetel S.A.","166","Nedetel S.A","4145","socks4","5099","1","2023-07-12T06:22:18.941Z","99","2832","2850"
"103.112.254.33","elite","AS137139","IN","Cybernet Introtech Private Limited","300","Cybernet Introtech Private Limited","5678","socks4","4309","1","2023-07-12T06:22:13.833Z","45","1284","2831"
"186.97.198.18","elite","AS27831","CO","Colombia Móvil","191","Colombia Móvil","5678","socks4","4593","1","2023-07-12T06:22:13.635Z","99","2794","2833"
"173.245.252.206","elite","AS13428","US","Surf Air Wireless, LLC","97","Surf Air Wireless, LLC","54321","socks4","4616","1","2023-07-12T06:22:13.637Z","100","2858","2864"
"50.84.210.194","elite","AS11427","US","Charter Communications Inc","193","Spectrum","39593","socks4","4690","1","2023-07-12T06:22:13.739Z","99","2730","2745"
"103.83.105.167","elite","AS134290","IN","Arrow Touch Wireless Internet Private Limited","186","Arrow Touch Wireless Internet Private Limited","4153","socks4","4499","1","2023-07-12T06:22:13.835Z","87","2437","2806"
"103.59.203.185","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","187","NET 4 U Services PVT LTD","4145","socks4","4792","96","2023-07-12T06:22:13.632Z","99","2821","2838"
"181.174.130.165","elite","AS52308","AR","Aguas Del Colorado Sapem","263","Cooperativa de Obras y Servicios Publicos de Macachin Limitada","5678","socks4","4694","1","2023-07-12T06:22:13.735Z","99","2770","2804"
"194.31.64.39","elite","AS212598","TR","SFCTEK Bilisim Yazilim ve Telekomunikasyon Hiz. San. ve Tic. LTD. STI.","50","SFCTEK Bilisim Yazilim ve Telekomunikasyon Hiz. San. ve Tic. LTD. STI","6019","socks4","4501","82","2023-07-12T06:22:07.635Z","96","2746","2851"
"54.39.102.233","elite","AS16276","CA","OVH SAS","88","OVH Hosting, Inc.","8080","socks4","5099","1","2023-07-12T06:22:07.937Z","100","2750","2750"
"36.67.14.193","elite","AS7713","ID","PT. Telekomunikasi Indonesia","195","N/A","5678","socks4","3292","1","2023-07-12T06:22:07.035Z","99","2815","2830"
"14.207.206.223","elite","AS45629","TH","Triple T Broadband Public Company Limited","198","Triple T Broadband Public Company Limited","8080","socks4","5008","1","2023-07-12T06:22:06.633Z","96","2702","2802"
"1.117.233.128","elite","AS45090","CN","China Internet Network Information Center","293","Tencent cloud computing (Beijing) Co., Ltd.","10800","socks5","4899","1","2023-07-12T06:22:06.434Z","78","2162","2767"
"177.86.64.1","elite","AS262623","BR","claudio jose lara -me","204","claudio jose lara -me","3629","socks4","3806","1","2023-07-12T06:22:06.933Z","100","2725","2734"
"185.170.233.102","elite","AS206912","CY","Superdach LTD","49","Infra","47574","socks4","4803","1","2023-07-12T06:22:01.044Z","100","2855","2858"
"202.159.60.113","elite","AS9340","ID","PT IndoInternet","165","N/A","443","socks4","4706","1","2023-07-12T06:22:01.046Z","99","2788","2813"
"212.77.138.119","elite","AS33894","RU","RIKT","112","JSC Ritc","1080","socks5","4811","1","2023-07-12T06:22:01.136Z","48","1373","2844"
"103.235.198.94","elite","AS4007","NP","CCNEP","164","N/A","5678","socks4","4899","1","2023-07-12T06:22:01.138Z","27","763","2818"
"212.26.225.114","elite","AS12730","RU","provider LIR RU.INECO","86","Ryazan branch of Joint-Stock Central Telecommunication Company","80","socks4","5189","82","2023-07-12T06:22:01.133Z","92","2593","2808"
"176.103.51.24","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","50","XServer","30421","socks5","4803","1","2023-07-12T06:21:53.642Z","72","2053","2852"
"119.148.45.182","elite","AS23923","BD","Agni Systems Limited","195","Agni Systems Ltd.","1088","socks4","4791","1","2023-07-12T06:21:53.648Z","98","2684","2741"
"103.51.44.41","elite","AS133819","ID","CIM","291","N/A","4145","socks4","4506","1","2023-07-12T06:21:48.438Z","99","2711","2738"
"91.240.63.215","elite","AS57474","IR","Nazhin Sepahan IT and data processing plc","187","Nazhin Sepahan IT and data processing plc","5678","socks4","4701","1","2023-07-12T06:21:48.439Z","17","478","2855"
"1.2.222.221","elite","AS23969","TH","TOT Public Company Limited","197","TOT Public Company Limited","4145","socks4","5092","1","2023-07-12T06:21:48.445Z","76","2160","2830"
"116.202.100.234","elite","AS24940","DE","Hetzner","23","N/A","37435","socks4","4996","1","2023-07-12T06:21:48.440Z","100","2846","2846"
"51.38.39.204","elite","AS16276","FR","OVH SAS","89","OVH","63028","socks5","5086","1","2023-07-12T06:21:48.537Z","100","2868","2869"
"37.233.102.111","elite","AS198717","PL","Techstorage sp. z o.o.","100","Techstorage sp. z o.o.","3128","socks4","4797","1","2023-07-12T06:21:48.446Z","100","2749","2758"
"162.12.217.9","elite","AS204902","FR","Weelax","108","XIWO","3629","socks4","5099","1","2023-07-12T06:21:43.244Z","99","2815","2854"
"45.7.177.202","elite","AS266626","BR","Litoral Telecom","284","Litoral Telecom","39867","socks4","4905","1","2023-07-12T06:21:43.248Z","99","2772","2803"
